ID_CLIENTE;RECENCIA;FREQUENCIA;MONETARY
329;1650;31;17192,06
565;1750;6;1195,28
497;93;333;221671,96
672;876;61;33002,13
673;1559;3;416,64
756;21;508;201937,01
318;250;49;99466,53
269;19;406;166855,7
645;28;74;20847,07
917;22;249;61467,37
640;35;398;149629,85
192;27;42;16897,1
67;433;133;42752,23
295;42;299;87235,95
722;15;282;180274,8
128;8;367;81310,32
173;51;115;19096,13
791;1562;6;913,4
132;22;100;51527,69
248;22;123;93199,85
566;1121;6;528,66
47;8;243;202941,55
452;36;69;16997,25
64;35;35;23950,18
165;1919;2;943,24
857;1759;21;4301,06
211;1538;4;680,86
668;776;16;3336,55
95;169;15;1768,34
116;419;37;5077,43
144;1048;52;11781,22
352;476;43;6323,78
679;30;230;40095,08
705;1736;3;1151,4
351;350;73;14323,82
649;22;439;77322,79
706;40;135;58825,9
152;5;587;187257,69
225;519;32;18967,54
487;1847;3;1088,6
606;44;142;75629,2
728;16;236;83610,58
797;1092;9;1837,89
959;1734;3;2301
840;653;55;7856,46
308;20;146;34514,03
695;91;74;23437,51
750;42;124;313856,48
735;1801;10;7020,97
285;1651;12;5872,9
482;1633;33;16616,85
136;5;163;27880,76
339;418;337;49787,48
519;1576;27;5706,68
531;128;49;41521,67
601;8;144;107990,36
619;1255;107;296251,36
472;55;142;47150,62
181;54;30;15736,85
253;176;36;9424,44
314;35;239;45991,34
425;393;184;90804,63
592;751;28;5444,67
865;6;117;22315,65
433;35;107;34397,05
590;552;146;93960,16
699;182;14;5911,67
667;1741;8;1106,38
437;63;262;81824,52
410;7;409;187115,95
41;37;290;162628,36
411;547;147;56802,98
440;49;42;16790,93
32;72;129;187484,5
53;65;149;56776,64
66;54;138;28442,88
70;20;170;48026,67
84;15;251;161820,15
94;21;319;206759,13
103;1;706;437730,26
104;566;8;9166,78
113;9;471;253499,22
115;37;263;221135,69
133;7;59;11941,12
138;68;117;62489,21
196;5;169;110707,49
198;974;20;9730,82
229;5;599;444602,88
232;19;327;118746,69
235;16;301;89604,51
255;5;595;247719,54
265;404;35;13815,2
276;1646;9;1093,72
279;1055;57;66394,02
283;5;181;36265,02
292;1349;15;2693,88
293;56;237;88276,47
303;1568;28;7087,68
305;1009;50;22411,42
311;21;311;98476,76
320;1407;35;24343
322;876;9;1646,04
350;107;67;29029,96
355;35;62;16516,26
357;35;15;4210,29
359;56;132;58732,06
363;43;59;10917,67
368;78;50;10579,84
370;9;675;314837,32
377;656;103;21034,1
387;35;114;180467,21
389;6;405;218832,04
399;1563;11;6167,73
402;1856;4;5994,28
428;70;91;43368,5
430;797;20;5572,28
447;43;522;230072,66
463;5;945;333222,53
468;1;575;579585,5
474;9;113;27390,85
476;5;210;139050,69
478;35;445;203676,12
505;1853;2;888,88
532;370;262;105692,66
533;1526;20;7093,67
536;5;672;285931,15
539;1202;31;13628,98
540;5;449;260150,35
541;103;117;49465,06
572;714;145;77946,57
602;1374;59;26874,86
607;1790;8;7220,1
614;15;257;120074,68
643;107;107;23969,72
657;5;186;75670,52
662;9;339;140370,48
664;13;303;124538,22
675;65;103;38087,93
678;5;296;63517,44
681;8;116;27388,59
683;1444;16;6476,1
689;677;57;24484,61
698;805;12;1631,42
707;7;539;127964,47
709;860;67;43897,8
711;1121;30;8690,04
719;21;120;52800,93
730;1393;89;44519,49
757;1136;161;126600,91
760;516;31;16903,49
773;973;55;7574,58
783;15;379;158775,41
787;141;165;140593,91
796;1073;33;6607,42
874;7;246;46744,03
881;14;183;75277,08
893;194;102;34812,7
900;127;115;34497,59
979;1076;6;1344,16
57;111;41;19840,82
256;5;213;74117,58
710;5;146;144384,04
227;77;127;28566,2
920;36;38;18769,27
636;6;552;193928,57
327;475;125;25775,77
524;8;836;607900,64
1024;12;381;140512,53
423;16;79;15214,31
27;7;6080;17696855,98
29;676;5603;13497250,34
153;1619;11;1806,6
226;873;79;32403,27
439;29;578;158992,56
483;1107;134;30692,64
489;883;177;29897,82
529;1701;25;1011,99
579;5;391;1296270,75
803;5;121;74731,91
43;6;1084;786502,63
503;96;199;53017,26
514;7;421;72386,6
546;6;428;1386709,21
770;44;396;164172,84
397;1350;35;9505,22
493;1058;6;1414,5
718;120;21;2754,96
141;48;239;151441,66
475;56;378;328546,37
63;5;234;92167,7
142;1818;3;122,4
431;6;86;4156,43
562;5;340;87009,69
563;1447;12;1361,48
782;6;479;153892,96
446;61;127;48255,1
369;1643;27;13478,85
38;271;46;6582,14
510;29;248;312289,82
418;112;60;10329,65
593;5;1973;849254,92
611;398;48;14249,32
612;35;359;115450,55
687;26;136;49513,85
976;133;33;68000
686;1178;89;35493,04
789;65;64;31372,54
294;1513;36;9889,88
50;1681;13;4887,53
251;1386;9;4096,78
284;572;1358;48380
360;13;327;110438,84
764;43;63;16360,56
323;1143;51;8008,66
408;383;169;63442,99
455;1146;71;3708,15
202;61;106;52071,56
207;1573;3;25
801;1526;34;15402,79
968;1741;15;6893,46
343;649;107;2123,74
568;1531;6;2002,14
223;28;71;33262,82
60;13;282;873173,56
802;35;7;2303,6
135;35;250;59171,5
299;216;211;47568
413;1;3209;1452372,76
574;5;241;67764,36
335;1603;39;1171,7
740;19;61;12344,43
328;1048;132;58315,6
876;201;32;14253,97
666;1826;3;390,23
296;602;127;30908,13
205;14;981;253020,58
306;744;39;4678,27
332;261;130;1633,23
333;1035;84;957,84
553;658;3;129,71
637;1693;5;246,14
